uid,prediction
u000302,"i000481,i001069,i001663,i001952,i001455,i000554,i000909,i001922,i000661,i001445"
u000307,"i001069,i000481,i000909,i001952,i001663,i000661,i001455,i000947,i000554,i000324"
u000308,"i000646,i000481,i001663,i001952,i001069,i000661,i001038,i000521,i000909,i000342"
u000309,"i000555,i000324,i001922,i000898,i000909,i000110,i000481,i000327,i000877,i001753"
u000321,"i001069,i000481,i001952,i001663,i000909,i001922,i000661,i001455,i001445,i000695"
u000331,"i001069,i000481,i001753,i001952,i000909,i001508,i001455,i001663,i001906,i000301"
u000335,"i000481,i000909,i001069,i001663,i001922,i001952,i000554,i001455,i001445,i001478"
u000350,"i000481,i001952,i001069,i000909,i001663,i000661,i001038,i000521,i000207,i000947"
u000355,"i001069,i000909,i000481,i001952,i001663,i000947,i000554,i000324,i000521,i000661"
u000358,"i001673,i001455,i001710,i001445,i001952,i000554,i000661,i001949,i000481,i000805"
u000366,"i000481,i001069,i001952,i001663,i000909,i000661,i000947,i000646,i001038,i000521"
u000372,"i001069,i000481,i000909,i001663,i001952,i000521,i000947,i000342,i000554,i000324"
u000373,"i000909,i000481,i000661,i000521,i001952,i000342,i001069,i001663,i001038,i000207"
u000379,"i000481,i001952,i001069,i000909,i000661,i001922,i001663,i000521,i000555,i001151"
u000380,"i000909,i001069,i000481,i001952,i001663,i000521,i000947,i000342,i001038,i000324"
u000382,"i001914,i001455,i001753,i001087,i000909,i001445,i001906,i001649,i001069,i001952"
u000387,"i001922,i001069,i001952,i000282,i001682,i000909,i000324,i000661,i000481,i001151"
u000388,"i000555,i000324,i001875,i000481,i001069,i000909,i001952,i000521,i000898,i001455"
u000391,"i000481,i001922,i000909,i001455,i001069,i001952,i000661,i001663,i000554,i001445"
u000392,"i001151,i001320,i000282,i001922,i001682,i000360,i001026,i001515,i001113,i002009"
u000395,"i001069,i000481,i001952,i000909,i001663,i000661,i000521,i000554,i000342,i001922"
u000414,"i001445,i000909,i000481,i001069,i001952,i001663,i000207,i000661,i001478,i000554"
u000421,"i000481,i000909,i000695,i001069,i001455,i000554,i001663,i001445,i001952,i001240"
u000423,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000342,i000661,i000554"
u000427,"i000481,i001952,i001663,i001069,i000207,i000661,i000646,i000909,i001038,i000521"
u000429,"i000481,i000909,i001069,i001952,i000521,i001663,i000342,i000324,i000554,i000555"
u000432,"i000481,i001952,i000661,i001663,i001069,i000909,i001455,i001445,i000554,i000521"
u000434,"i001069,i000481,i001455,i000909,i001952,i000324,i001673,i000554,i000695,i001922"
u000438,"i001069,i000481,i001952,i000909,i000947,i000661,i001663,i001455,i000521,i001673"
u000442,"i000481,i001069,i001952,i001663,i001038,i000646,i001445,i000661,i001478,i000909"
u000453,"i000909,i000481,i001922,i000554,i001445,i001455,i001663,i001240,i001049,i000646"
u000458,"i001069,i000481,i000909,i000947,i000521,i000342,i001952,i001663,i001038,i000570"
u000465,"i001069,i000481,i001952,i001445,i000661,i001455,i001663,i001914,i001710,i000909"
u000474,"i000646,i001949,i001663,i000481,i001952,i000554,i001455,i001445,i000661,i001673"
u000477,"i001455,i001673,i001710,i000554,i001445,i001952,i000661,i001949,i000481,i001069"
u000484,"i001922,i001682,i002009,i001049,i000695,i000977,i001688,i000282,i001801,i001240"
u000487,"i001069,i001663,i000481,i000554,i000909,i001922,i001240,i001445,i001191,i000646"
u000491,"i000909,i000481,i000521,i000324,i001069,i000342,i001663,i001952,i000555,i001922"
u000496,"i000481,i001069,i001952,i000909,i001663,i000521,i000661,i000342,i000554,i001922"
u000501,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000661,i000342,i000324"
u000502,"i000481,i001069,i001952,i000661,i001663,i001922,i000909,i001445,i000521,i000554"
u000508,"i001952,i000481,i000661,i001069,i000909,i001663,i001038,i000521,i001455,i001445"
u000516,"i000909,i001069,i001952,i000481,i001922,i001455,i000661,i000554,i001673,i001663"
u000518,"i000481,i001949,i001952,i001069,i001663,i000909,i000554,i000342,i000661,i001038"
u000522,"i000695,i001240,i001049,i001922,i000481,i001688,i001584,i000554,i001455,i001445"
u000541,"i000909,i000481,i001069,i001952,i000521,i001663,i000342,i000661,i000947,i001038"
u000549,"i000652,i001069,i001949,i001877,i000695,i000554,i000842,i001240,i001445,i000931"
u000554,"i001069,i000909,i000481,i001952,i001663,i000554,i000947,i000324,i001455,i000521"
u000555,"i000481,i001069,i001455,i000909,i001952,i001673,i001663,i000695,i001922,i000661"
u000561,"i001069,i000481,i001952,i000909,i001663,i000661,i001455,i000554,i000947,i000695"
u000563,"i001069,i000481,i000909,i000521,i001663,i001952,i000947,i000342,i000554,i000324"
u000569,"i000324,i000555,i000110,i000909,i000481,i000521,i000898,i001922,i000327,i000342"
u000571,"i001069,i000481,i000909,i001952,i000947,i001663,i000342,i000521,i000207,i001038"
u000572,"i000481,i000909,i001069,i001753,i001508,i001906,i000555,i001952,i000912,i000324"
u000573,"i001069,i000481,i000947,i000909,i001038,i001952,i001663,i000521,i000661,i000342"
u000574,"i001069,i000481,i001952,i000909,i001663,i000661,i000521,i000947,i000554,i000342"
u000581,"i000481,i001069,i001952,i001663,i000909,i000661,i000521,i000554,i001922,i000342"
u000590,"i001952,i000481,i001069,i000661,i001663,i001455,i000909,i001711,i001508,i001906"
u000593,"i000481,i000342,i000521,i001952,i001069,i001663,i000661,i000909,i000947,i000646"
u000600,"i001455,i001673,i001069,i001445,i001710,i001952,i000481,i000661,i000909,i000554"
u000601,"i000481,i001952,i001069,i001038,i001046,i001663,i000661,i000909,i000521,i000646"
u000602,"i001069,i000481,i001952,i000909,i001663,i000661,i000521,i000554,i000342,i000947"
u000604,"i000481,i000661,i001952,i001069,i001663,i000909,i000521,i001038,i000207,i000342"
u000607,"i001922,i000481,i001663,i000661,i001952,i001455,i000554,i001445,i001069,i000909"
u000621,"i000909,i000481,i000324,i001069,i000555,i000521,i001952,i000554,i000898,i000342"
u000624,"i000909,i000481,i000324,i000555,i001151,i001069,i001952,i001922,i000554,i000521"
u000627,"i001069,i000909,i000481,i001952,i001663,i000947,i000554,i000661,i000521,i000324"
u000635,"i000481,i000909,i001069,i001952,i001663,i000521,i000947,i000342,i000661,i000207"
u000647,"i000695,i001584,i001049,i001688,i001462,i001240,i001877,i000058,i000401,i001922"
u000648,"i001922,i002009,i001682,i001335,i000200,i001151,i000977,i000282,i001595,i001240"
u000658,"i001069,i000481,i000909,i000521,i001952,i001663,i000947,i000342,i000554,i000661"
u000663,"i000324,i000555,i000110,i000909,i001069,i000898,i000481,i000327,i001516,i000877"
u000666,"i001069,i000481,i001952,i000909,i001663,i000554,i000661,i000521,i000646,i001445"
u000677,"i001922,i001682,i002009,i001335,i001049,i000977,i001663,i001240,i001151,i000200"
u000682,"i000481,i001069,i001952,i000909,i001663,i001038,i001478,i000661,i000646,i000521"
u000693,"i000481,i001069,i001455,i001952,i001663,i000554,i001445,i000695,i000909,i000661"
u000713,"i000481,i000909,i000521,i001952,i001069,i000342,i001663,i000324,i000661,i000554"
u000714,"i001069,i000481,i000909,i001952,i001663,i000521,i000661,i000554,i000947,i001922"
u000716,"i001069,i000481,i001952,i000909,i001663,i000554,i001922,i000661,i001445,i000521"
u000727,"i001069,i000481,i000909,i001952,i000947,i001663,i000554,i000521,i001455,i000342"
u000735,"i000481,i001922,i001952,i001069,i001663,i001445,i000661,i000554,i000909,i001455"
u000743,"i001151,i000282,i000324,i001515,i000909,i001922,i000555,i000695,i000360,i000999"
u000745,"i001649,i001914,i001087,i001069,i001949,i000909,i001455,i000554,i001445,i001673"
u000749,"i000481,i000909,i001069,i001663,i001952,i000554,i001445,i000661,i001478,i001455"
u000750,"i000324,i000909,i001069,i000555,i000898,i000481,i000110,i000327,i001952,i000521"
u000751,"i001069,i000481,i000909,i000947,i001952,i000521,i000661,i001663,i000342,i001038"
u000752,"i000646,i001663,i000481,i001952,i000661,i000554,i000521,i000342,i001217,i001049"
u000754,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000554,i000342,i000661"
u000763,"i000909,i001069,i000481,i001952,i001663,i000521,i000947,i000661,i000554,i000324"
u000767,"i001069,i001952,i000481,i000909,i001455,i000661,i001663,i000947,i001445,i000207"
u000768,"i000909,i001069,i000481,i001952,i000947,i001663,i000521,i000342,i000661,i001038"
u000771,"i001069,i000481,i001952,i000947,i001663,i000909,i001038,i000661,i000521,i000646"
u000779,"i000324,i000555,i000110,i000481,i001922,i000898,i000909,i000760,i001952,i000327"
u000780,"i000481,i000909,i001069,i001663,i001952,i000521,i000207,i001478,i000947,i000661"
u000787,"i000481,i000661,i001952,i001069,i000909,i001663,i001038,i000521,i000947,i000342"
u000788,"i001069,i000481,i001952,i000661,i001922,i001663,i000909,i001445,i001455,i000554"
u000790,"i000909,i001069,i000481,i001952,i000521,i001663,i000342,i000947,i000661,i000324"
u000791,"i001069,i000481,i001952,i000661,i000909,i001663,i000554,i000947,i001922,i001455"
u000795,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000342,i000324,i000554"
u000805,"i000555,i000324,i000481,i000909,i000110,i000521,i000898,i001922,i001952,i000661"
u000811,"i001922,i001682,i002009,i001335,i000200,i000282,i001151,i001595,i001049,i002056"
u000813,"i001922,i000481,i001952,i001069,i000909,i000661,i001663,i001914,i000324,i000521"
u000819,"i000481,i001069,i000909,i001952,i001663,i000661,i001038,i000342,i000521,i000207"
u000821,"i000481,i001069,i000909,i001663,i001952,i000521,i000342,i000661,i001038,i000646"
u000822,"i001069,i000481,i001952,i000909,i000324,i000661,i001663,i000555,i001922,i001455"
u000833,"i001922,i001682,i002056,i002009,i001710,i001335,i000282,i000200,i001952,i001240"
u000842,"i000554,i001455,i001952,i001445,i000481,i000661,i001143,i001949,i001038,i001914"
u000853,"i001069,i000481,i000909,i000947,i001952,i001663,i001038,i000521,i000207,i000342"
u000857,"i001069,i000481,i001952,i000909,i000661,i001922,i001455,i001663,i001445,i000554"
u000859,"i000481,i001069,i000909,i001952,i001663,i000695,i000661,i001455,i000554,i000947"
u000864,"i000481,i000909,i001952,i000661,i001663,i001445,i001069,i001038,i001455,i001478"
u000874,"i000481,i001663,i001069,i000909,i001952,i000646,i000521,i001038,i000342,i000207"
u000875,"i001069,i000481,i000909,i000521,i001663,i001952,i000342,i000947,i000324,i000554"
u000880,"i002056,i001922,i000282,i001151,i001801,i001682,i001026,i002009,i001335,i001623"
u000881,"i000481,i001952,i001445,i001069,i000661,i001455,i000554,i000909,i000956,i001663"
u000885,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000947,i000342,i000646"
u000892,"i000481,i000909,i001069,i001663,i001455,i001952,i000554,i000324,i001445,i000661"
u000901,"i000481,i000909,i000521,i001952,i000342,i000207,i001069,i000555,i001038,i000324"
u000903,"i000481,i001069,i001952,i000909,i001663,i001922,i000521,i000342,i000661,i000554"
u000912,"i000481,i001069,i001952,i001663,i000909,i000342,i000661,i000521,i001038,i000646"
u000913,"i000521,i000481,i001069,i001952,i000661,i001663,i000947,i000342,i000909,i000646"
u000914,"i001069,i000909,i000481,i000947,i001952,i001663,i001267,i001038,i000521,i000342"
u000927,"i000481,i000909,i001069,i001952,i000521,i001663,i000324,i001922,i000555,i000661"
u000933,"i001445,i001069,i001455,i001682,i001673,i001952,i000554,i001922,i000931,i000282"
u000936,"i000909,i000481,i001952,i001069,i001663,i000661,i000521,i001038,i000342,i001478"
u000937,"i001952,i000481,i000661,i001663,i001069,i000909,i001038,i000646,i000521,i001445"
u000941,"i000481,i000909,i001069,i001952,i000521,i000342,i000324,i000661,i000555,i001663"
u000943,"i000554,i000661,i000481,i001455,i001952,i000909,i001069,i001445,i001663,i000251"
u000944,"i001455,i000909,i000324,i001673,i001069,i001914,i001952,i001922,i000481,i001682"
u000945,"i000481,i001069,i001952,i000909,i000661,i001663,i000521,i001922,i000342,i000554"
u000947,"i001151,i000282,i000342,i000909,i000360,i000481,i001922,i001515,i001320,i001026"
u000948,"i000481,i001952,i001949,i001046,i001069,i001663,i000909,i000661,i001445,i001038"
u000951,"i000481,i000646,i000342,i001663,i001952,i001069,i000521,i000661,i000909,i000947"
u000953,"i000909,i001069,i000481,i001952,i000158,i001663,i001478,i000661,i001445,i001038"
u000957,"i001922,i001682,i002009,i001335,i000282,i000200,i001801,i001151,i002056,i001595"
u000958,"i001069,i000481,i000947,i001952,i000909,i001267,i000661,i001663,i000521,i000342"
u000963,"i001069,i000481,i001952,i000909,i001663,i000521,i000661,i000947,i000554,i000342"
u000964,"i001922,i000481,i000909,i001952,i001069,i000661,i001663,i000324,i001455,i001914"
u000977,"i001069,i001922,i000481,i000909,i001952,i001455,i000324,i001673,i000555,i000661"
u000980,"i001922,i000481,i001952,i001069,i001455,i000909,i000554,i000661,i001673,i001445"
u000988,"i001753,i001455,i000909,i000481,i001508,i001952,i000555,i001710,i001069,i001673"
u001000,"i001455,i001445,i001673,i001949,i001710,i001914,i001952,i000554,i001069,i000661"
u001006,"i001069,i000481,i000909,i001952,i000521,i000342,i000947,i000324,i001663,i000661"
u001008,"i000481,i000909,i001069,i000521,i000342,i001952,i001663,i000619,i000947,i000661"
u001009,"i001069,i000481,i000909,i001952,i001663,i000207,i000521,i000947,i001455,i000661"
u001013,"i001069,i000947,i001189,i000563,i000481,i000521,i000342,i001267,i001952,i001663"
u001016,"i000909,i001069,i000481,i001952,i000554,i000661,i001663,i000521,i001445,i000947"
u001019,"i001069,i000481,i000909,i001952,i001663,i000947,i000521,i000324,i000661,i000554"
u001020,"i000909,i000481,i001069,i001952,i001038,i000324,i000661,i000521,i000207,i000342"
u001022,"i001682,i001922,i001455,i000554,i002009,i001335,i000200,i000282,i001673,i001710"
u001035,"i001069,i000481,i001952,i001663,i000909,i000521,i000554,i000646,i000661,i000342"
u001037,"i001914,i001049,i000695,i001584,i001649,i001087,i001455,i001922,i000554,i001240"
u001041,"i000481,i000909,i001069,i001952,i001455,i001663,i001673,i000521,i001922,i000661"
u001048,"i000695,i001049,i001584,i001688,i000058,i000401,i001240,i001922,i001069,i001462"
u001062,"i001069,i001952,i000481,i000661,i000521,i001663,i000947,i001914,i000909,i001445"
u001065,"i000481,i001922,i000909,i001455,i000554,i001445,i001952,i000324,i001069,i001663"
u001073,"i000481,i000695,i001240,i001069,i001663,i000554,i000909,i001952,i001922,i001445"
u001077,"i000481,i001952,i001069,i000909,i001455,i001922,i000661,i001663,i000695,i000554"
u001078,"i000909,i000481,i001922,i000324,i001069,i001952,i000521,i000555,i001240,i000695"
u001079,"i001069,i001877,i000947,i000652,i000931,i000909,i000481,i001949,i000554,i001445"
u001081,"i000481,i000909,i001952,i001455,i001069,i001922,i001445,i001663,i000554,i000661"
u001082,"i001069,i000481,i001952,i000661,i001663,i000909,i000521,i000947,i001914,i000342"
u001084,"i000481,i001069,i001952,i001663,i000909,i000661,i000207,i000646,i001038,i000521"
u001087,"i000661,i000481,i001952,i001663,i001069,i001038,i001445,i000521,i000646,i000909"
u001090,"i001906,i001753,i001508,i001922,i001065,i001087,i000548,i001914,i000518,i002011"
u001092,"i000481,i000554,i001445,i000695,i001455,i001240,i001922,i000956,i001688,i001049"
u001103,"i001069,i001952,i000481,i000909,i001753,i001663,i001455,i001508,i000661,i001906"
u001105,"i001069,i000481,i000909,i001952,i000947,i000521,i001663,i001038,i000661,i000342"
u001110,"i000909,i000481,i001069,i001952,i000521,i001663,i000342,i001038,i000947,i000661"
u001112,"i001069,i000909,i000947,i000110,i000324,i000481,i001952,i000555,i001914,i001663"
u001120,"i000481,i000909,i001069,i001952,i000521,i001663,i000342,i000324,i000661,i000554"
u001124,"i001455,i001673,i001710,i001445,i001952,i000554,i000805,i000481,i000661,i001914"
u001130,"i001069,i000481,i000554,i000909,i000947,i001952,i000521,i000661,i001663,i001455"
u001131,"i001069,i000909,i000481,i001952,i001455,i000661,i001663,i000947,i000554,i001922"
u001142,"i000282,i001151,i001515,i000360,i001026,i001922,i001320,i001682,i000909,i000317"
u001144,"i001069,i000481,i000909,i001952,i001663,i001922,i001455,i000947,i000324,i000661"
u001148,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000342,i000554,i000661"
u001151,"i000521,i000481,i000909,i000342,i001952,i001069,i000661,i001663,i000947,i000555"
u001157,"i001069,i000481,i000947,i000909,i001952,i001663,i001267,i000521,i001038,i000342"
u001159,"i001069,i000481,i000909,i000947,i001952,i000521,i000661,i001663,i000342,i000619"
u001165,"i001508,i001753,i000481,i000521,i001906,i000518,i000909,i001663,i000342,i001069"
u001167,"i001069,i000481,i001952,i000909,i001663,i000521,i000342,i000947,i000554,i000661"
u001170,"i000554,i000481,i000521,i001922,i000909,i001753,i001240,i000342,i001455,i000518"
u001172,"i001069,i000481,i000909,i001952,i000521,i001663,i000947,i000342,i000661,i000324"
u001183,"i001069,i000481,i000909,i001952,i001663,i000947,i000521,i000342,i000554,i000661"
u001184,"i000481,i001069,i001952,i000909,i001663,i000521,i001922,i000661,i000342,i000554"
u001198,"i001240,i001335,i001922,i000200,i002009,i001682,i000554,i001191,i001143,i001949"
u001200,"i001069,i000481,i000909,i001952,i001663,i000695,i000947,i000554,i000521,i000661"
u001212,"i001753,i000909,i001069,i000481,i001952,i000521,i001663,i001906,i001455,i001508"
u001231,"i000909,i000481,i001952,i000555,i000324,i001069,i001922,i000521,i000661,i000110"
u001233,"i001922,i000282,i000324,i001151,i000909,i001682,i001455,i000481,i001515,i000555"
u001239,"i001069,i000481,i001038,i001952,i000909,i001663,i000661,i000947,i001455,i000521"
u001251,"i000661,i000481,i001952,i001046,i000521,i001663,i001445,i001455,i001069,i001038"
u001257,"i000481,i000554,i001143,i001455,i001952,i001663,i000661,i000521,i001922,i001710"
u001259,"i001069,i000481,i000909,i001952,i001663,i000947,i000661,i000521,i000554,i001455"
u001262,"i000481,i001069,i000909,i001952,i001663,i001922,i000554,i000695,i001455,i001445"
u001269,"i001069,i000481,i001952,i000909,i001455,i000661,i001663,i001673,i000947,i000695"
u001277,"i000481,i000909,i001069,i001952,i001663,i001478,i001038,i000521,i000661,i000342"
u001278,"i001952,i001069,i000481,i001663,i001038,i000661,i000909,i000646,i001445,i000186"
u001285,"i001069,i000481,i000909,i001663,i001952,i000521,i000947,i000342,i000554,i000646"
u001288,"i001069,i000251,i000909,i000481,i001952,i001455,i000947,i000554,i001445,i001649"
u001293,"i000481,i001455,i001952,i001069,i001673,i000661,i001445,i001710,i001663,i000909"
u001297,"i000646,i001952,i000481,i000661,i001663,i001069,i000909,i001038,i001445,i001478"
u001298,"i001069,i000481,i001952,i000909,i000947,i000521,i000661,i001663,i000342,i001038"
u001309,"i000646,i000481,i001663,i001952,i000909,i001069,i000521,i000342,i001478,i001038"
u001310,"i001445,i001952,i000661,i000909,i000481,i001949,i001663,i001069,i001673,i001922"
u001312,"i000481,i001069,i000909,i001952,i000521,i000342,i000661,i001663,i000947,i000646"
u001316,"i001069,i000481,i001952,i000909,i001663,i000521,i000661,i000947,i000554,i000342"
u001317,"i001069,i001663,i000481,i000947,i000909,i001952,i000646,i000521,i001038,i001267"
u001318,"i000909,i000481,i001922,i000324,i000521,i000555,i001952,i000342,i000554,i001240"
u001326,"i001069,i000481,i000909,i001663,i001952,i000947,i000521,i000342,i001038,i000207"
u001329,"i000909,i000481,i001069,i001952,i001663,i000661,i001038,i000521,i001445,i000324"
u001335,"i001069,i000909,i000481,i001952,i001445,i001663,i000931,i000661,i000947,i001455"
u001336,"i001952,i000661,i000481,i001069,i001455,i000909,i001673,i001663,i001038,i000521"
u001339,"i001663,i001069,i000481,i000324,i000909,i000521,i000646,i001952,i000342,i000207"
u001340,"i001069,i000909,i001713,i000481,i002132,i001663,i001952,i000947,i000661,i001038"
u001344,"i001069,i000481,i001952,i000909,i000661,i001455,i001922,i001663,i000324,i001445"
u001358,"i001069,i000481,i000909,i001952,i001663,i000947,i000521,i000554,i000661,i000646"
u001366,"i001069,i000481,i000909,i001952,i001663,i000661,i001455,i000554,i001922,i001445"
u001368,"i000481,i000909,i001069,i001663,i000554,i001455,i001952,i000695,i001922,i001445"
u001377,"i000909,i001069,i000481,i001952,i000661,i000947,i001663,i000324,i000521,i001445"
u001384,"i000909,i000481,i001952,i000661,i001069,i001445,i001663,i000521,i001038,i001478"
u001391,"i000481,i001663,i001069,i000909,i001952,i001478,i000521,i000646,i001038,i000342"
u001395,"i000481,i001069,i000909,i001952,i001663,i001753,i000947,i000661,i000521,i001445"
u001405,"i000909,i000481,i000324,i000521,i000342,i000555,i001922,i000554,i001952,i000110"
u001419,"i001240,i001922,i001049,i001191,i000554,i000695,i000754,i001949,i000058,i001688"
u001424,"i001922,i001952,i000695,i000481,i001240,i000554,i001949,i001455,i001584,i001663"
u001425,"i000481,i000909,i000521,i000324,i000555,i001922,i001952,i000342,i001069,i001663"
u001429,"i000481,i001038,i000909,i001952,i000521,i001069,i000342,i000661,i000207,i001663"
u001437,"i000481,i001663,i000521,i000909,i001069,i001952,i000661,i001038,i000646,i000342"
u001441,"i001922,i000481,i000554,i001240,i000909,i000695,i000521,i001688,i000342,i000661"
u001444,"i001922,i002009,i001335,i001682,i000200,i001595,i000282,i002056,i001151,i001320"
u001446,"i001922,i001682,i002009,i001049,i001240,i000695,i001335,i001801,i002056,i000200"
u001452,"i000324,i000555,i000909,i000898,i000481,i000110,i000327,i001455,i000554,i001914"
u001454,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000342,i000661,i000554"
u001463,"i001069,i000481,i000909,i001663,i001952,i000947,i000342,i000661,i000646,i000521"
u001471,"i000695,i001049,i001688,i001584,i001240,i000058,i001922,i001462,i000401,i000754"
u001481,"i000909,i000481,i001922,i000324,i000555,i000521,i001952,i000554,i000342,i001240"
u001483,"i001922,i000481,i000909,i001240,i000695,i001688,i000554,i001049,i000521,i000324"
u001487,"i001069,i000481,i000909,i001663,i001952,i000521,i000947,i000342,i000554,i000661"
u001495,"i000481,i000646,i000521,i001069,i001663,i001952,i000909,i000947,i000342,i000661"
u001496,"i001069,i000481,i001952,i000909,i001663,i000661,i000521,i000947,i000554,i000342"
u001499,"i001069,i001952,i000481,i000661,i000909,i000947,i001663,i000521,i001445,i001455"
u001501,"i000481,i001478,i000909,i001069,i001952,i001663,i001038,i000646,i000661,i000521"
u001504,"i001922,i000909,i000481,i001952,i001069,i000695,i001455,i000554,i001663,i000661"
u001510,"i000481,i001663,i001952,i001455,i001922,i001069,i000661,i000554,i001445,i000695"
u001531,"i001753,i000909,i000324,i001069,i000481,i000555,i000521,i001952,i001906,i001508"
u001532,"i001069,i000909,i000481,i001455,i000324,i001952,i001922,i000555,i001673,i000554"
u001535,"i001240,i000695,i001922,i000554,i001049,i000754,i001949,i001191,i000058,i001786"
u001537,"i000481,i000909,i001069,i000695,i001663,i001952,i001240,i001049,i000554,i000646"
u001544,"i000661,i001952,i000481,i000270,i001663,i000909,i000521,i000646,i001038,i001069"
u001549,"i000481,i001069,i000909,i000521,i001952,i001663,i000947,i000342,i001038,i000207"
u001550,"i000481,i001952,i000661,i001663,i001478,i001038,i000646,i001069,i000158,i001046"
u001554,"i000909,i001240,i000695,i001922,i000521,i000481,i000342,i001688,i001049,i000555"
u001557,"i001478,i000481,i001952,i001046,i000661,i001663,i000909,i001038,i001069,i000646"
